Artist;Top Track;Popularity;Genre;;,
Wet Leg;Being In Love;66;Indie;;,
Wet Leg;Angelica;66;Indie;;,
Wet Leg;Ur Mum;66;Indie;;,
Two Door Cinema Club;What You Know;70;Indie;;,
Two Door Cinema Club;Undercover Martyn;70;Indie;;,
Two Door Cinema Club;Something Good Can Work;70;Indie;;,
Two Door Cinema Club;Sun;70;Indie;;,
Two Door Cinema Club;I Can Talk;70;Indie;;,
Cage The Elephant;Cigarette Daydreams;76;Indie;;,
Cage The Elephant;Ain't No Rest for the Wicked;76;Indie;;,
Cage The Elephant;Come a Little Closer;76;Indie;;,
Cage The Elephant;Trouble;76;Indie;;,
Cage The Elephant;Cold Cold Cold;76;Indie;;,
Arctic Monkeys;I Wanna Be Yours;89;Indie;;,
Arctic Monkeys;505;89;Indie;;,
Arctic Monkeys;Do I Wanna Know?;89;Indie;;,
Arctic Monkeys;Why'd You Only Call Me When You're High?;89;Indie;;,
Arctic Monkeys;R U Mine?;89;Indie;;,
Juletta;Across the World (feat. Ishan);13;Pop;;,
Juletta;Strawberry;13;Pop;;,
Juletta;Gut Feeling;13;Pop;;,
Juletta;Solstice;13;Pop;;,
Juletta;Pandora;13;Pop;;,
Heart Beach;Brittle;1;Pop;;,
Heart Beach;Away;1;Pop;;,
Heart Beach;Know Her;1;Pop;;,
Heart Beach;8am;1;Pop;;,
Heart Beach;Summer;1;Pop;;,
Hot Lava;Blue Dragon;2;Pop;;,
Hot Lava;Apple+Option+Fire;2;Pop;;,
Hot Lava;Mummy Beach;2;Pop;;,
Hot Lava;Ghosties;2;Pop;;,
Hot Lava;Pink Lemonade;2;Pop;;,
The Leaf Library;There Seen from Here;8;Pop;;,
The Leaf Library;About Minerals;8;Pop;;,
The Leaf Library;Goodbye Four Walls;8;Pop;;,
The Leaf Library;Agnes In The Square;8;Pop;;,
The Leaf Library;Walking Backwards;8;Pop;;,
Pallers;Come Rain, Come Sunshine;3;Pop;;
Pallers;Humdrum;3;Pop;;,
Pallers;The Kiss;3;Pop;;,
Pallers;Another Heaven;3;Pop;;,
Pallers;Years Go, Days Pass;3;Pop;;
Very Truly Yours;I'd Write You a Song;2;Pop;;,
Very Truly Yours;Things You Used to Say;2;Pop;;,
Very Truly Yours;Love is Hard;2;Pop;;,
Very Truly Yours;Dear;2;Pop;;,
Very Truly Yours;Sorry to Say It;2;Pop;;,
Brigida HB;Forest Queen;0;Pop;;,
Brigida HB;Dal tuo Valentino;0;Pop;;,
Brigida HB;Authorized Dealer;0;Pop;;,
Brigida HB;Beyond Reasonable Doubt;0;Pop;;,
Brigida HB;Until Further Notice;0;Pop;;,
Tuba Tuba;Hemmelig Klubb;5;Pop;;,
Tuba Tuba;Årets Lyseste Dag;5;Pop;;,
Tuba Tuba;Slackerkid_91;5;Pop;;,
Tuba Tuba;Kul Ferie;5;Pop;;,
Tuba Tuba;Inni Planeten;5;Pop;;,
pretty havoc.;goddess;30;Pop;;,
